	color	cell type
FRC.CD140a+.Madcam-.CD35-.SLN#2	xkcd:purple	Stroma
B.FrE.BM#1	xkcd:yellow	B
NKT.Sp.LPS.3hr#1	xkcd:red	Act T
T8.Tcm.LCMV.d180.Sp#1	xkcd:orange	abT
NK.27+11b-.Sp#1	xkcd:green	ILC
ILC3.NKp46+.SI#1	xkcd:green	ILC
LTHSC.34-.BM#1	xkcd:grey	Stem
T.4.Nve.Sp#1	xkcd:orange	abT
MF.PC#3	xkcd:hot pink	MF/GN
LEC.SLN#2	xkcd:hot pink	MF/GN
B.PB.Sp#1	xkcd:yellow	B
NKT.Sp.LPS.18hr#1	xkcd:red	Act T
NK.27+11b+.Sp#1	xkcd:green	ILC
ILC3.CCR6+.SI#1	xkcd:green	ILC
LTHSC.34+.BM#1	xkcd:grey	Stem
preT.DN2b.Th#1	xkcd:orange	abT
T.8.Nve.Sp#1	xkcd:red	Act T
GN.BM#1	xkcd:hot pink	MF/GN
BEC.SLN#2	xkcd:hot pink	MF/GN
B.T2.Sp#1	xkcd:yellow	B
B.GC.CC.Sp#1	xkcd:yellow	B
Tgd.g2+d1.24a+.Th#1	xkcd:blue	cdT
STHSC.150-.BM#1	xkcd:grey	Stem
preT.DN3.Th#1	xkcd:orange	abT
T.4.Sp.aCD3+CD40.18hr#1	xkcd:orange	abT
GN.Sp#3	xkcd:hot pink	MF/GN
IAP.SLN#1	xkcd:purple	Stroma
B.GC.CB.Sp#1	xkcd:yellow	B
T8.TN.P14.Sp#1	xkcd:orange	abT
Tgd.g1.1+d1.24a+.Th#1	xkcd:blue	cdT
NK.27+11b-.BM#1	xkcd:green	ILC
MF.Alv.Lu#1	xkcd:hot pink	MF/GN
MMP2.150+48+.BM#1	xkcd:grey	Stem
T.DN4.Th#1	xkcd:orange	abT
Treg.4.25hi.Sp#1	xkcd:orange	abT
GN.Thio.PC#1	xkcd:hot pink	MF/GN
proB.CLP.BM#1	xkcd:yellow	B
B.Fo.Sp#1	xkcd:yellow	B
B.mem.Sp#1	xkcd:yellow	B
T8.TE.LCMV.d7.Sp#1	xkcd:orange	abT
Tgd.g2+d17.LN#1	xkcd:blue	cdT
NK.27+11b+.BM#1	xkcd:green	ILC
MMP3.48+.BM#1	xkcd:grey	Stem
T.ISP.Th#1	xkcd:orange	abT
Treg.4.FP3+.Nrplo.Co#1	xkcd:orange	abT
MC.heparinase.PC#3	xkcd:hot pink	MF/GN
proB.FrA.BM#1	xkcd:yellow	B
B.MZ.Sp#1	xkcd:yellow	B
B.Fo.Sp#3	xkcd:yellow	B
T8.MP.LCMV.d7.Sp#1	xkcd:orange	abT
Tgd.g2+d1.LN#1	xkcd:blue	cdT
NK.27-11b+.BM#1	xkcd:green	ILC
DC.8+.Sp#1	xkcd:black	DC
MMP4.135+.BM#1	xkcd:grey	Stem
T.DP.Th#1	xkcd:orange	abT
B.Fem.Sp#1	xkcd:yellow	B
proB.FrBC.BM#1	xkcd:yellow	B
B1b.PC#1	xkcd:yellow	B
T8.IEL.LCMV.d7.Gut#1	xkcd:orange	abT
Tgd.g1.1+d1.LN#1	xkcd:blue	cdT
ILC2.SI#1	xkcd:green	ILC
DC.4+.Sp#1	xkcd:black	DC
Ep.MECHi.Th#1	xkcd:purple	Stroma
T.4.Th#1	xkcd:orange	abT
T.4.Nve.Fem.Sp#1	xkcd:orange	abT
B.PC.BM#1	xkcd:yellow	B
